order_id,order_date,customer_id,customer_name,city,product_id,product_name,brand,category,quantity,cost_price,selling_price,item_cost,item_revenue,loss,discount_percent,revenue,cost,profit,cost_price_imputed,selling_price_imputed,item_cost_total
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,165,LG Beauty Product 165, LG ,Beauty,1,26148.45,36330.18,26148.45,36330.18,0.0,0.0,94026.85,160452.11,-66425.25999999998,0,0,26148.45
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,137,Philips Grocery Product 137,Philips,Grocey,3,11944.7,13355.27,35834.1,40065.81,67436.48999999999,0.0,94026.85,160452.11,-66425.25999999998,0,0,107502.29999999999
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,45,Nike Books Product 45,Nike,Boks,2,6700.34,8815.43,13400.68,17630.86,9170.5,0.0,94026.85,160452.11,-66425.25999999998,0,0,26801.36
868,2024-10-02,12,Danielle Sanchez,Lake Catherine,180,Dell Books Product 180,Dell,Boks,2,23562.46,32366.73,47124.92,64733.46,29516.379999999997,0.0,203848.46000000002,373022.0,-169173.53999999998,0,0,94249.84
868,2024-10-02,12,Danielle Sanchez,LAKE CATHERINE,4,Tata Beauty Product 4,Tata,Beuty,3,29605.07,42234.37,88815.21,126703.11000000002,139742.52,0.0,203848.46000000002,373022.0,-169173.53999999998,0,0,266445.63
779,2024-10-01,12,Danielle Sanchez,lake catherine,105,Nike Home Appliances Product 105,Nike,Home Appliances,2,19457.8,26435.42,38915.6,52870.84,24960.36,0.0,52870.84,77831.2,-24960.36,0,0,77831.2
732,2024-10-02,12,Danielle Sanchez,LAKE CATHERINE,173,Puma Sports Product 173,Puma,Sports,1,16064.91,19498.7,16064.91,19498.7,0.0,0.0,19498.7,16064.91,3433.790000000001,0,0,16064.91
868,2024-10-02,12,Danielle Sanchez,NotListed,98,Puma Sports Product 98,Puma,Sports,1,7204.09,8945.29,7204.09,8945.29,0.0,0.0,203848.46000000002,373022.0,-169173.53999999998,0,0,7204.09
868,2024-10-02,12,Danielle Sanchez,lake catherine,149,Nike Beauty Product 149,Nike,Beuty,2,1280.61,1733.3,2561.22,3466.6,1655.8399999999997,0.0,203848.46000000002,373022.0,-169173.53999999998,0,0,5122.44
55,2024-10-03,63,David Mullins,North Hollytown,165,LG Beauty Product 165,LG,Beuty,2,26148.45,16341.73,52296.9,32683.46,71910.34,0.0,109084.79000000001,203727.09,-94642.29999999999,0,1,104593.8
311,2024-10-01,63,David Mullins,North Hollytown,136,Sony Beauty Product 136,Sony,Beuty,3,12657.39,13459.06,37972.17,40377.18,73539.32999999999,0.0,53193.75,133315.87,-80122.12,0,0,113916.51
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,86,Adidas Grocery Product 86,Adidas,Grocey,1,29373.28,40321.72,29373.28,40321.72,0.0,0.0,109084.79000000001,203727.09,-94642.29999999999,0,0,29373.28
311,2024-10-01,63,David Mullins,NORTH HOLLYTOWN,22,Sony Home Appliances Product 22,Sony,Home Appliances,3,1682.44,2314.57,5047.32,6943.710000000001,8198.249999999998,0.0,53193.75,133315.87,-80122.12,0,0,15141.96
768,2024-10-09,63,David Mullins,North Hollytown,156,Dell Toys Product 156, Dell ,Toys,2,1793.55,2663.31,3587.1,5326.62,1847.58,0.0,191043.91,375593.71,-184549.80000000002,0,0,7174.2
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,18,Sony Books Product 18,Sony,Boks,1,28421.43,35101.95,28421.43,35101.95,0.0,0.0,191043.91,375593.71,-184549.80000000002,0,0,28421.43
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,33,Adidas Fashion Product 33,Adidas,Fashion,3,20447.87,5470.71,13892.67,16412.13,25265.88,0.0,109084.79000000001,203727.09,-94642.29999999999,1,0,41678.01
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,190,Nike Fashion Product 190,Nike,Fashion,2,7020.5,9833.74,14041.0,19667.48,8414.52,0.0,109084.79000000001,203727.09,-94642.29999999999,0,0,28082.0
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,26,Sony Toys Product 26,Sony,Toys,3,16632.62,21251.0,49897.86,63753.0,85940.58000000002,0.0,191043.91,375593.71,-184549.80000000002,0,0,149693.58000000002
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,94,Sony Electronics Product 94,Sony,Electronics,2,10152.73,11554.67,20305.46,23109.34,17501.579999999998,0.0,191043.91,375593.71,-184549.80000000002,0,0,40610.92
311,2024-10-01,63,David Mullins,North Hollytown,151,Nike Books Product 151, Nike ,Boks,1,16346.94,5872.86,4257.4,5872.86,0.0,0.0,53193.75,133315.87,-80122.12,1,0,4257.4
106,2024-10-01,172,Kathleen Robinson,East Allison,165,LG Beauty Product 165,LG,Beuty,1,26148.45,36330.18,26148.45,36330.18,0.0,0.0,110374.62,191764.09,-81389.47,0,0,26148.45
445,2024-10-13,172,Kathleen Robinson,East Allison,90,Sony Beauty Product 90,Sony,Beuty,2,26023.42,33562.25,52046.84,67124.5,36969.17999999999,0.0,221656.1,329853.98,-108197.87999999998,0,0,104093.68
445,2024-10-13,172,Kathleen Robinson,East Allison,34,LG Electronics Product 34, LG ,Electronics,2,26675.55,34026.08,53351.1,68052.16,38650.03999999999,0.0,221656.1,329853.98,-108197.87999999998,0,0,106702.2
106,2024-10-01,172,Kathleen Robinson,East Allison,101,Apple Fashion Product 101,Apple,Fashion,3,17222.2,20521.46,51666.6,61564.38,93435.41999999998,0.0,110374.62,191764.09,-81389.47,0,0,154999.8
64,2024-10-03,172,Kathleen Robinson,East Allison,109,Adidas Electronics Product 109,Adidas,Electronics,3,12560.58,18224.4,37681.74,54673.200000000004,58372.02,0.0,75923.26000000001,127832.93000000001,-51909.67,0,0,113045.22
64,2024-10-03,172,Kathleen Robinson,East Allison,27,Samsung Home Appliances Product 27,Samsung,Home Appliances,1,7898.16,11835.43,7898.16,11835.43,0.0,0.0,75923.26000000001,127832.93000000001,-51909.67,0,0,7898.16
64,2024-10-03,172,Kathleen Robinson,east allison,25,Sony Beauty Product 25,Sony,Beuty,1,6889.55,9414.63,6889.55,9414.63,0.0,0.0,75923.26000000001,127832.93000000001,-51909.67,0,0,6889.55
665,2024-10-03,172,Kathleen Robinson,East Allison,98,Puma Sports Product 98,Puma,Sports,3,7204.09,8945.29,21612.27,26835.870000000003,38000.939999999995,0.0,32676.33,75394.76999999999,-42718.43999999999,0,0,64836.81
106,2024-10-01,172,Kathleen Robinson,east allison,153,Sony Home Appliances Product 153,Sony,Home Appliances,1,10615.84,12480.06,10615.84,12480.06,0.0,0.0,110374.62,191764.09,-81389.47,0,0,10615.84
665,2024-10-03,172,Kathleen Robinson,EAST ALLISON,54,Dell Grocery Product 54,Dell,Grocey,2,2639.49,2920.23,5278.98,5840.46,4717.499999999999,0.0,32676.33,75394.76999999999,-42718.43999999999,0,0,10557.96
445,2024-10-13,172,Kathleen Robinson,east allison,36,Tata Beauty Product 36,Tata,Beuty,1,12355.9,18427.28,12355.9,18427.28,0.0,0.0,221656.1,329853.98,-108197.87999999998,0,0,12355.9
166,2024-10-03,417,Courtney Ortiz,north justinberg,165,LG Beauty Product 165,LG,Beuty,2,26148.45,36330.18,52296.9,72660.36,31933.440000000002,0.0,272579.05,517505.11,-244926.06,0,0,104593.8
166,2024-10-03,417,Courtney Ortiz,North Justinberg,85,Nike Home Appliances Product 85,Nike,Home Appliances,3,23030.56,33879.75,69091.68,101639.25,105635.78999999998,0.0,272579.05,517505.11,-244926.06,0,0,207275.03999999998
166,2024-10-03,417,Courtney Ortiz,north justinberg,24,Apple Home Appliances Product 24,Apple,Home Appliances,2,7441.5,9891.38,14883.0,19782.76,9983.240000000002,0.0,272579.05,517505.11,-244926.06,0,0,29766.0
166,2024-10-03,417,Courtney Ortiz,NORTH JUSTINBERG,119,Samsung Toys Product 119,Samsung,Toys,3,18823.24,23702.27,56469.72,71106.81,98302.35,0.0,272579.05,517505.11,-244926.06,0,0,169409.16
166,2024-10-03,417,Courtney Ortiz,NORTH JUSTINBERG,66,Adidas Beauty Product 66,Adidas,Beuty,1,6461.11,7389.87,6461.11,7389.87,0.0,0.0,272579.05,517505.11,-244926.06,0,0,6461.11
712,2024-10-13,417,unknown,north justinberg,184,Philips Grocery Product 184,Philips,Grocey,1,2885.49,3980.98,2885.49,3980.98,0.0,0.0,109186.86999999998,253687.05,-144500.18,0,0,2885.49
712,2024-10-13,417,Courtney Ortiz,North Justinberg,82,Apple Fashion Product 82, Apple ,Fashion,3,27866.84,35068.63,83600.52,105205.88999999998,145595.67,0.0,109186.86999999998,253687.05,-144500.18,0,0,250801.56
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,165,LG Beauty Product 165,LG,Beuty,3,26148.45,36330.18,78445.35,108990.54000000001,126345.51000000001,0.0,263913.58,457044.11,-193130.52999999997,0,0,235336.05000000002
934,2024-10-06,82,Heather Simon,South Jonathanstad,106,Tata Books Product 106,Tata,Boks,2,27947.11,38403.55,55894.22,76807.1,34981.34,0.0,80522.46,117734.0,-37211.53999999999,0,0,111788.44
195,2024-10-14,82,Heather Simon,South Jonathanstad,115,Dell Grocery Product 115,Dell,Grocey,2,29211.34,40894.71,58422.68,81789.42,35055.94,0.0,263913.58,457044.11,-193130.52999999997,0,0,116845.36
934,2024-10-06,82,Heather Simon,South Jonathanstad,48,Nike Beauty Product 48,Nike,Beuty,2,1486.39,1857.68,2972.78,3715.36,2230.2000000000003,0.0,80522.46,117734.0,-37211.53999999999,0,0,5945.56
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,63,Apple Sports Product 63,Apple,Sports,1,23529.5,20958.62,23529.5,20958.62,2570.880000000001,0.0,263913.58,457044.11,-193130.52999999997,0,1,23529.5
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,41,LG Grocery Product 41,LG,Grocey,2,20333.3,26087.5,40666.6,52175.0,29158.199999999997,0.0,263913.58,457044.11,-193130.52999999997,0,0,81333.2
217,2024-10-11,216,Morgan Berry,Fernandezstad,165,LG Beauty Product 165,LG,Beuty,3,26148.45,36330.18,78445.35,108990.54000000001,126345.51000000001,0.0,152372.0,312429.0,-160057.0,0,0,235336.05000000002
533,2024-10-07,216,Morgan Berry,Fernandezstad,137,Philips Grocery Product 137,Philips,Grocey,2,11944.7,13355.27,23889.4,26710.54,21068.260000000002,0.0,82433.14,127385.0,-44951.86,0,0,47778.8
894,2024-10-09,216,Morgan Berry,fernandezstad,108,Sony Home Appliances Product 108,Sony,Home Appliances,1,6699.9,9479.16,6699.9,9479.16,0.0,0.0,43505.240000000005,33375.45,10129.790000000008,0,0,6699.9
894,2024-10-09,216,unknown,fernandezstad,34,LG Electronics Product 34,LG,Electronics,1,26675.55,34026.08,26675.55,34026.08,0.0,0.0,43505.240000000005,33375.45,10129.790000000008,0,0,26675.55
