order_id,order_date,customer_id,customer_name,city,product_id,product_name,brand,category,quantity,cost_price,selling_price,item_cost,item_revenue,loss,discount_percent,revenue,cost,profit
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,165,LG Beauty Product 165, LG ,,1,26148.45,36330.18,26148.45,36330.18,-10181.73,0.0,94026.85,75383.23,18643.62
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,137,Philips Grocery Product 137,Philips,Grocey,3,11944.7,13355.27,35834.1,40065.81,-4231.71,0.0,94026.85,75383.23,18643.62
1,2024-10-11,12,Danielle Sanchez,LAKE CATHERINE,45,Nike Books Product 45,Nike,Boks,2,6700.34,8815.43,13400.68,17630.86,-4230.18,0.0,94026.85,75383.23,18643.62
868,2024-10-02,12,Danielle Sanchez,Lake Catherine,180,Dell Books Product 180,nan,Boks,2,23562.46,32366.73,47124.92,64733.46,-17608.54,0.0,203848.46,145705.44,58143.02
868,2024-10-02,12,Danielle Sanchez,LAKE CATHERINE,4,Tata Beauty Product 4,Tata,Beuty,3,29605.07,42234.37,88815.21,126703.11,-37887.9,0.0,203848.46,145705.44,58143.02
779,2024-10-01,12,Danielle Sanchez,lake catherine,105,Nike Home Appliances Product 105,Nike,Home Appliances,2,19457.8,26435.42,38915.6,52870.84,-13955.24,0.0,52870.84,38915.6,13955.24
732,2024-10-02,12,Danielle Sanchez,LAKE CATHERINE,173,Puma Sports Product 173,Puma,Sports,1,16064.91,19498.7,16064.91,19498.7,-3433.79,0.0,19498.7,16064.91,3433.79
868,2024-10-02,12,Danielle Sanchez,nan,98,Puma Sports Product 98,Puma,Sports,1,7204.09,8945.29,7204.09,8945.29,-1741.2,0.0,203848.46,145705.44,58143.02
868,2024-10-02,12,Danielle Sanchez,lake catherine,149,Nike Beauty Product 149,Nike,Beuty,2,1280.61,1733.3,2561.22,3466.6,-905.38,0.0,203848.46,145705.44,58143.02
55,2024-10-03,63,David Mullins,North Hollytown,165,LG Beauty Product 165,LG,Beuty,2,26148.45,,52296.9,72660.36,-20363.46,0.0,149061.69,109603.85,39457.84
311,2024-10-01,63,David Mullins,North Hollytown,136,Sony Beauty Product 136,Sony,Beuty,3,12657.39,13459.06,37972.17,40377.18,-2405.01,0.0,53193.75,47276.89,5916.86
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,86,Adidas Grocery Product 86,Adidas,Grocey,1,29373.28,40321.72,29373.28,40321.72,-10948.44,0.0,149061.69,109603.85,39457.84
311,2024-10-01,63,David Mullins,NORTH HOLLYTOWN,22,Sony Home Appliances Product 22,Sony,Home Appliances,3,1682.44,2314.57,5047.32,6943.71,-1896.39,0.0,53193.75,47276.89,5916.86
768,2024-10-09,63,David Mullins,North Hollytown,156,Dell Toys Product 156, Dell ,Toys,2,1793.55,2663.31,3587.1,5326.62,-1739.52,0.0,127290.91,102211.85,25079.06
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,18,Sony Books Product 18,Sony,Boks,1,28421.43,35101.95,28421.43,35101.95,-6680.52,0.0,127290.91,102211.85,25079.06
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,33,Adidas Fashion Product 33,Adidas,Fashion,3,,5470.71,13892.67,16412.13,-2519.46,0.0,149061.69,109603.85,39457.84
55,2024-10-03,63,David Mullins,NORTH HOLLYTOWN,190,Nike Fashion Product 190,Nike,Fashion,2,7020.5,9833.74,14041.0,19667.48,-5626.48,0.0,149061.69,109603.85,39457.84
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,26,Sony Toys Product 26,Sony,Toys,3,16632.62,21251.0,49897.86,63753.0,-13855.14,0.0,127290.91,102211.85,25079.06
768,2024-10-09,63,David Mullins,NORTH HOLLYTOWN,94,Sony Electronics Product 94,Sony,Electronics,2,10152.73,11554.67,20305.46,23109.34,-2803.88,0.0,127290.91,102211.85,25079.06
311,2024-10-01,63,David Mullins,North Hollytown,151,Nike Books Product 151, Nike ,Boks,1,,5872.86,4257.4,5872.86,-1615.46,0.0,53193.75,47276.89,5916.86
106,2024-10-01,172,Kathleen Robinson,East Allison,165,LG Beauty Product 165,LG,Beuty,1,26148.45,36330.18,26148.45,36330.18,-10181.73,0.0,110374.62,88430.89,21943.73
445,2024-10-13,172,Kathleen Robinson,East Allison,90,Sony Beauty Product 90,Sony,Beuty,2,26023.42,33562.25,52046.84,67124.5,-15077.66,0.0,153603.94,117753.84,35850.1
445,2024-10-13,172,Kathleen Robinson,East Allison,34,LG Electronics Product 34, LG ,,2,26675.55,34026.08,53351.1,68052.16,-14701.06,0.0,153603.94,117753.84,35850.1
106,2024-10-01,172,Kathleen Robinson,East Allison,101,Apple Fashion Product 101,Apple,Fashion,3,17222.2,20521.46,51666.6,61564.38,-9897.78,0.0,110374.62,88430.89,21943.73
64,2024-10-03,172,Kathleen Robinson,East Allison,109,Adidas Electronics Product 109,Adidas,Electronics,3,12560.58,18224.4,37681.74,54673.2,-16991.46,0.0,75923.26,52469.45,23453.81
64,2024-10-03,172,Kathleen Robinson,East Allison,27,Samsung Home Appliances Product 27,Samsung,Home Appliances,1,7898.16,11835.43,7898.16,11835.43,-3937.27,0.0,75923.26,52469.45,23453.81
64,2024-10-03,172,Kathleen Robinson,east allison,25,Sony Beauty Product 25,Sony,Beuty,1,6889.55,9414.63,6889.55,9414.63,-2525.08,0.0,75923.26,52469.45,23453.81
665,2024-10-03,172,Kathleen Robinson,East Allison,98,Puma Sports Product 98,Puma,Sports,3,7204.09,8945.29,21612.27,26835.87,-5223.6,0.0,32676.33,26891.25,5785.08
106,2024-10-01,172,Kathleen Robinson,east allison,153,Sony Home Appliances Product 153,nan,Home Appliances,1,10615.84,12480.06,10615.84,12480.06,-1864.22,0.0,110374.62,88430.89,21943.73
665,2024-10-03,172,Kathleen Robinson,EAST ALLISON,54,Dell Grocery Product 54,Dell,Grocey,2,2639.49,2920.23,5278.98,5840.46,-561.48,0.0,32676.33,26891.25,5785.08
445,2024-10-13,172,Kathleen Robinson,east allison,36,Tata Beauty Product 36,Tata,Beuty,1,12355.9,18427.28,12355.9,18427.28,-6071.38,0.0,153603.94,117753.84,35850.1
166,2024-10-03,417,Courtney Ortiz,north justinberg,165,LG Beauty Product 165,LG,Beuty,2,26148.45,36330.18,52296.9,72660.36,-20363.46,0.0,272579.05,199202.41,73376.64
166,2024-10-03,417,Courtney Ortiz,North Justinberg,85,Nike Home Appliances Product 85,Nike,Home Appliances,3,23030.56,33879.75,69091.68,101639.25,-32547.57,0.0,272579.05,199202.41,73376.64
166,2024-10-03,417,Courtney Ortiz,north justinberg,24,Apple Home Appliances Product 24,Apple,Home Appliances,2,7441.5,9891.38,14883.0,19782.76,-4899.76,0.0,272579.05,199202.41,73376.64
166,2024-10-03,417,Courtney Ortiz,NORTH JUSTINBERG,119,Samsung Toys Product 119,Samsung,Toys,3,18823.24,23702.27,56469.72,71106.81,-14637.09,0.0,272579.05,199202.41,73376.64
166,2024-10-03,417,Courtney Ortiz,NORTH JUSTINBERG,66,Adidas Beauty Product 66,Adidas,Beuty,1,6461.11,7389.87,6461.11,7389.87,-928.76,0.0,272579.05,199202.41,73376.64
712,2024-10-13,417,,north justinberg,184,Philips Grocery Product 184,Philips,Grocey,1,2885.49,3980.98,2885.49,3980.98,-1095.49,0.0,109186.87,86486.01,22700.86
712,2024-10-13,417,Courtney Ortiz,North Justinberg,82,Apple Fashion Product 82, Apple ,Fashion,3,27866.84,35068.63,83600.52,105205.89,-21605.37,0.0,109186.87,86486.01,22700.86
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,165,LG Beauty Product 165,LG,Beuty,3,26148.45,36330.18,78445.35,108990.54,-30545.19,0.0,277422.89,201064.13,76358.76
934,2024-10-06,82,Heather Simon,South Jonathanstad,106,Tata Books Product 106,Tata,Boks,2,27947.11,38403.55,55894.22,76807.1,-20912.88,0.0,80522.46,58867.0,21655.46
195,2024-10-14,82,Heather Simon,South Jonathanstad,115,Dell Grocery Product 115,Dell,Grocey,2,29211.34,40894.71,58422.68,81789.42,-23366.74,0.0,277422.89,201064.13,76358.76
934,2024-10-06,82,Heather Simon,South Jonathanstad,48,Nike Beauty Product 48,Nike,Beuty,2,1486.39,1857.68,2972.78,3715.36,-742.58,0.0,80522.46,58867.0,21655.46
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,63,Apple Sports Product 63,Apple,Sports,1,23529.5,,23529.5,34467.93,-10938.43,0.0,277422.89,201064.13,76358.76
195,2024-10-14,82,Heather Simon,SOUTH JONATHANSTAD,41,LG Grocery Product 41,LG,Grocey,2,20333.3,26087.5,40666.6,52175.0,-11508.4,0.0,277422.89,201064.13,76358.76
217,2024-10-11,216,Morgan Berry,Fernandezstad,165,LG Beauty Product 165,LG,Beuty,3,26148.45,36330.18,78445.35,108990.54,-30545.19,0.0,152372.0,117551.88,34820.12
533,2024-10-07,216,Morgan Berry,Fernandezstad,137,Philips Grocery Product 137,Philips,Grocey,2,11944.7,13355.27,23889.4,26710.54,-2821.14,0.0,82433.14,63692.5,18740.64
894,2024-10-09,216,Morgan Berry,fernandezstad,108,Sony Home Appliances Product 108,Sony,Home Appliances,1,6699.9,9479.16,6699.9,9479.16,-2779.26,0.0,43505.24,33375.45,10129.79
894,2024-10-09,216,,fernandezstad,34,LG Electronics Product 34,LG,,1,26675.55,34026.08,26675.55,34026.08,-7350.53,0.0,43505.24,33375.45,10129.79
533,2024-10-07,216,Morgan Berry,Fernandezstad,8,Tata Sports Product 8,Tata,Sports,2,2504.28,2960.14,5008.56,5920.28,-911.72,0.0,82433.14,63692.5,18740.64
533,2024-10-07,216,Morgan Berry,Fernandezstad,92,Samsung Toys Product 92,Samsung,Toys,2,17397.27,24901.16,34794.54,49802.32,-15007.78,0.0,82433.14,63692.5,18740.64
198,2024-10-08,216,Morgan Berry,fernandezstad,47,Philips Electronics Product 47,Philips,,3,1935.71,2306.12,5807.13,6918.36,-1111.23,0.0,6918.36,5807.13,1111.23
